]0;🐍Wi-Fi: off | code.py | 10.3.0\  1639.0 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  47.7°C |  0.00 bar [0.498 V]
  1653.6 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.48 | PD:  0.02  | PI:  0.00 | Brew:  49.5°C |  0.00 bar [0.498 V]
  1653.9 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.01  | PI:  0.00 | Brew:  52.5°C |  0.00 bar [0.498 V]
  1654.2 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.48 | PD:  0.02  | PI:  0.00 | Brew:  51.4°C |  0.00 bar [0.498 V]
  1654.5 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.01  | PI:  0.00 | Brew:  50.8°C |  0.00 bar [0.498 V]
Failed to write to flash. Is the drive write-protected? [Errno 30] Read-only filesystem
  1654.8 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.02  | PI:  0.00 | Brew:  49.1°C |  0.00 bar [0.500 V]
  1655.2 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  50.6°C |  0.00 bar [0.498 V]
  1655.5 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.48 | PD:  0.02  | PI:  0.00 | Brew:  48.5°C |  0.00 bar [0.497 V]
  1655.8 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.01  | PI:  0.00 | Brew:  51.2°C |  0.00 bar [0.498 V]
  1656.1 s | Boiler:  59.0°C [Set: 114.0°C ] | SSR: H1.00 | Err:  55.0 °C |  PP: 16.51 | PD:  0.03  | PI:  0.00 | Brew:  48.8°C |  0.00 bar [0.500 V]
  1656.4 s | Boiler:  59.0°C [Set: 114.0°C ] | SSR: H1.00 | Err:  55.0 °C |  PP: 16.51 | PD:  0.03  | PI:  0.00 | Brew:  48.9°C |  0.00 bar [0.498 V]
  1656.7 s | Boiler:  59.0°C [Set: 114.0°C ] | SSR: H1.00 | Err:  55.0 °C |  PP: 16.50 | PD:  0.02  | PI:  0.00 | Brew:  49.7°C |  0.00 bar [0.500 V]
  1657.0 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  51.9°C |  0.00 bar [0.498 V]
  1657.3 s | Boiler:  58.9°C [Set: 114.0°C ] | SSR: H1.00 | Err:  55.1 °C |  PP: 16.53 | PD:  0.03  | PI:  0.00 | Brew:  51.5°C |  0.00 bar [0.500 V]
  1657.6 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  47.3°C |  0.00 bar [0.498 V]
  1657.9 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  48.3°C |  0.00 bar [0.497 V]
  1658.2 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  48.4°C |  0.00 bar [0.498 V]
